Day,Time,Flow Rate,Water Pressure
0,0,0.0,90.0
0,1,0.0,90.0
0,2,0.0,90.0
0,3,0.0,90.0
0,4,0.0,90.0
0,5,3.56,320.4
0,6,1.53,137.7
0,7,1.5,135.0
0,8,2.03,182.7
0,9,2.62,235.8
0,10,3.86,347.4
0,11,3.1,279.0
0,12,1.26,113.4
0,13,1.21,108.9
0,14,3.6,324.0
0,15,3.59,323.1
0,16,1.93,173.7
0,17,2.16,194.4
0,18,3.3,297.0
0,19,3.51,315.9
0,20,2.49,224.1
0,21,3.66,329.4
0,22,3.93,353.7
0,23,1.33,119.7
1,0,0.0,90.0
1,1,0.0,90.0
1,2,0.0,90.0
1,3,0.0,90.0
1,4,0.0,90.0
1,5,3.56,320.4
1,6,1.53,137.7
1,7,1.5,135.0
1,8,2.03,182.7
1,9,2.62,235.8
1,10,3.86,347.4
1,11,3.1,279.0
1,12,1.26,113.4
1,13,1.21,108.9
1,14,3.6,324.0
1,15,3.59,323.1
1,16,1.93,173.7
1,17,2.16,194.4
1,18,3.3,297.0
1,19,3.51,315.9
1,20,2.49,224.1
1,21,3.66,329.4
1,22,3.93,353.7
1,23,1.33,119.7
2,0,0.0,90.0
2,1,0.0,90.0
2,2,0.0,90.0
2,3,0.0,90.0
2,4,0.0,90.0
2,5,3.56,320.4
2,6,1.53,137.7
2,7,1.5,135.0
2,8,2.03,182.7
2,9,2.62,235.8
2,10,3.86,347.4
2,11,3.1,279.0
2,12,1.26,113.4
2,13,1.21,108.9
2,14,3.6,324.0
2,15,3.59,323.1
2,16,1.93,173.7
2,17,2.16,194.4
2,18,3.3,297.0
2,19,3.51,315.9
2,20,2.49,224.1
2,21,3.66,329.4
2,22,3.93,353.7
2,23,1.33,119.7
3,0,0.0,90.0
3,1,0.0,90.0
3,2,0.0,90.0
3,3,0.0,90.0
3,4,0.0,90.0
3,5,3.56,320.4
3,6,1.53,137.7
3,7,1.5,135.0
3,8,2.03,182.7
3,9,2.62,235.8
3,10,3.86,347.4
3,11,3.1,279.0
3,12,1.26,113.4
3,13,1.21,108.9
3,14,3.6,324.0
3,15,3.59,323.1
3,16,1.93,173.7
3,17,2.16,194.4
3,18,3.3,297.0
3,19,3.51,315.9
3,20,2.49,224.1
3,21,3.66,329.4
3,22,3.93,353.7
3,23,1.33,119.7
4,0,0.0,90.0
4,1,0.0,90.0
4,2,0.0,90.0
4,3,0.0,90.0
4,4,0.0,90.0
4,5,3.56,320.4
4,6,1.53,137.7
4,7,1.5,135.0
4,8,2.03,182.7
4,9,2.62,235.8
4,10,3.86,347.4
4,11,3.1,279.0
4,12,1.26,113.4
4,13,1.21,108.9
4,14,3.6,324.0
4,15,3.59,323.1
4,16,1.93,173.7
4,17,2.16,194.4
4,18,3.3,297.0
4,19,3.51,315.9
4,20,2.49,224.1
4,21,3.66,329.4
4,22,3.93,353.7
4,23,1.33,119.7
5,0,0.0,90.0
5,1,0.0,90.0
5,2,0.0,90.0
5,3,0.0,90.0
5,4,0.0,90.0
5,5,3.56,320.4
5,6,1.53,137.7
5,7,1.5,135.0
5,8,2.03,182.7
5,9,2.62,235.8
5,10,3.86,347.4
5,11,3.1,279.0
5,12,1.26,113.4
5,13,1.21,108.9
5,14,3.6,324.0
5,15,3.59,323.1
5,16,1.93,173.7
5,17,2.16,194.4
5,18,3.3,297.0
5,19,3.51,315.9
5,20,2.49,224.1
5,21,3.66,329.4
5,22,3.93,353.7
5,23,1.33,119.7
6,0,0.0,90.0
6,1,0.0,90.0
6,2,0.0,90.0
6,3,0.0,90.0
6,4,0.0,90.0
6,5,3.56,320.4
6,6,1.53,137.7
6,7,1.5,135.0
6,8,2.03,182.7
6,9,2.62,235.8
6,10,3.86,347.4
6,11,3.1,279.0
6,12,1.26,113.4
6,13,1.21,108.9
6,14,3.6,324.0
6,15,3.59,323.1
6,16,1.93,173.7
6,17,2.16,194.4
6,18,3.3,297.0
6,19,3.51,315.9
6,20,2.49,224.1
6,21,3.66,329.4
6,22,3.93,353.7
6,23,1.33,119.7
0,0,0.0,90.0
0,1,0.0,90.0
0,2,0.0,90.0
0,3,0.0,90.0
0,4,0.0,90.0
0,5,3.56,320.4
0,6,1.53,137.7
0,7,1.5,135.0
0,8,2.03,182.7
0,9,2.62,235.8
0,10,3.86,347.4
0,11,3.1,279.0
0,12,1.26,113.4
0,13,1.21,108.9
0,14,3.6,324.0
0,15,3.59,323.1
0,16,1.93,173.7
0,17,2.16,194.4
0,18,3.3,297.0
0,19,3.51,315.9
0,20,2.49,224.1
0,21,3.66,329.4
0,22,3.93,353.7
0,23,1.33,119.7
1,0,0.0,90.0
1,1,0.0,90.0
1,2,0.0,90.0
1,3,0.0,90.0
1,4,0.0,90.0
1,5,3.56,320.4
1,6,1.53,137.7
1,7,1.5,135.0
1,8,2.03,182.7
1,9,2.62,235.8
1,10,3.86,347.4
1,11,3.1,279.0
1,12,1.26,113.4
1,13,1.21,108.9
1,14,3.6,324.0
1,15,3.59,323.1
1,16,1.93,173.7
1,17,2.16,194.4
1,18,3.3,297.0
1,19,3.51,315.9
1,20,2.49,224.1
1,21,3.66,329.4
1,22,3.93,353.7
1,23,1.33,119.7
2,0,0.0,90.0
2,1,0.0,90.0
2,2,0.0,90.0
2,3,0.0,90.0
2,4,0.0,90.0
2,5,3.56,320.4
2,6,1.53,137.7
2,7,1.5,135.0
2,8,2.03,182.7
2,9,2.62,235.8
2,10,3.86,347.4
2,11,3.1,279.0
2,12,1.26,113.4
2,13,1.21,108.9
2,14,3.6,324.0
2,15,3.59,323.1
2,16,1.93,173.7
2,17,2.16,194.4
2,18,3.3,297.0
2,19,3.51,315.9
2,20,2.49,224.1
2,21,3.66,329.4
2,22,3.93,353.7
2,23,1.33,119.7
3,0,0.0,90.0
3,1,0.0,90.0
3,2,0.0,90.0
3,3,0.0,90.0
3,4,0.0,90.0
3,5,3.56,320.4
3,6,1.53,137.7
3,7,1.5,135.0
3,8,2.03,182.7
3,9,2.62,235.8
3,10,3.86,347.4
3,11,3.1,279.0
3,12,1.26,113.4
3,13,1.21,108.9
3,14,3.6,324.0
3,15,3.59,323.1
3,16,1.93,173.7
3,17,2.16,194.4
3,18,3.3,297.0
3,19,3.51,315.9
3,20,2.49,224.1
3,21,3.66,329.4
3,22,3.93,353.7
3,23,1.33,119.7
4,0,0.0,90.0
4,1,0.0,90.0
4,2,0.0,90.0
4,3,0.0,90.0
4,4,0.0,90.0
4,5,3.56,320.4
4,6,1.53,137.7
4,7,1.5,135.0
4,8,2.03,182.7
4,9,2.62,235.8
4,10,3.86,347.4
4,11,3.1,279.0
4,12,1.26,113.4
4,13,1.21,108.9
4,14,3.6,324.0
4,15,3.59,323.1
4,16,1.93,173.7
4,17,2.16,194.4
4,18,3.3,297.0
4,19,3.51,315.9
4,20,2.49,224.1
4,21,3.66,329.4
4,22,3.93,353.7
4,23,1.33,119.7
5,0,0.0,90.0
5,1,0.0,90.0
5,2,0.0,90.0
5,3,0.0,90.0
5,4,0.0,90.0
5,5,3.56,320.4
5,6,1.53,137.7
5,7,1.5,135.0
5,8,2.03,182.7
5,9,2.62,235.8
5,10,3.86,347.4
5,11,3.1,279.0
5,12,1.26,113.4
5,13,1.21,108.9
5,14,3.6,324.0
5,15,3.59,323.1
5,16,1.93,173.7
5,17,2.16,194.4
5,18,3.3,297.0
5,19,3.51,315.9
5,20,2.49,224.1
5,21,3.66,329.4
5,22,3.93,353.7
5,23,1.33,119.7
6,0,0.0,90.0
6,1,0.0,90.0
6,2,0.0,90.0
6,3,0.0,90.0
6,4,0.0,90.0
6,5,3.56,320.4
6,6,1.53,137.7
6,7,1.5,135.0
6,8,2.03,182.7
6,9,2.62,235.8
6,10,3.86,347.4
6,11,3.1,279.0
6,12,1.26,113.4
6,13,1.21,108.9
6,14,3.6,324.0
6,15,3.59,323.1
6,16,1.93,173.7
6,17,2.16,194.4
6,18,3.3,297.0
6,19,3.51,315.9
6,20,2.49,224.1
6,21,3.66,329.4
6,22,3.93,353.7
6,23,1.33,119.7
0,0,0.0,90.0
0,1,0.0,90.0
0,2,0.0,90.0
0,3,0.0,90.0
0,4,0.0,90.0
0,5,3.56,320.4
0,6,1.53,137.7
0,7,1.5,135.0
0,8,2.03,182.7
0,9,2.62,235.8
0,10,3.86,347.4
0,11,3.1,279.0
0,12,1.26,113.4
0,13,1.21,108.9
0,14,3.6,324.0
0,15,3.59,323.1
0,16,1.93,173.7
0,17,2.16,194.4
0,18,3.3,297.0
0,19,3.51,315.9
0,20,2.49,224.1
0,21,3.66,329.4
0,22,3.93,353.7
0,23,1.33,119.7
1,0,0.0,90.0
1,1,0.0,90.0
1,2,0.0,90.0
1,3,0.0,90.0
1,4,0.0,90.0
1,5,3.56,320.4
1,6,1.53,137.7
1,7,1.5,135.0
1,8,2.03,182.7
1,9,2.62,235.8
1,10,3.86,347.4
1,11,3.1,279.0
1,12,1.26,113.4
1,13,1.21,108.9
1,14,3.6,324.0
1,15,3.59,323.1
1,16,1.93,173.7
1,17,2.16,194.4
1,18,3.3,297.0
1,19,3.51,315.9
1,20,2.49,224.1
1,21,3.66,329.4
1,22,3.93,353.7
1,23,1.33,119.7
2,0,0.0,90.0
2,1,0.0,90.0
2,2,0.0,90.0
2,3,0.0,90.0
2,4,0.0,90.0
2,5,3.56,320.4
2,6,1.53,137.7
2,7,1.5,135.0
2,8,2.03,182.7
2,9,2.62,235.8
2,10,3.86,347.4
2,11,3.1,279.0
2,12,1.26,113.4
2,13,1.21,108.9
2,14,3.6,324.0
2,15,3.59,323.1
2,16,1.93,173.7
2,17,2.16,194.4
2,18,3.3,297.0
2,19,3.51,315.9
2,20,2.49,224.1
2,21,3.66,329.4
2,22,3.93,353.7
2,23,1.33,119.7
3,0,0.0,90.0
3,1,0.0,90.0
3,2,0.0,90.0
3,3,0.0,90.0
3,4,0.0,90.0
3,5,3.56,320.4
3,6,1.53,137.7
3,7,1.5,135.0
3,8,2.03,182.7
3,9,2.62,235.8
3,10,3.86,347.4
3,11,3.1,279.0
3,12,1.26,113.4
3,13,1.21,108.9
3,14,3.6,324.0
3,15,3.59,323.1
3,16,1.93,173.7
3,17,2.16,194.4
3,18,3.3,297.0
3,19,3.51,315.9
3,20,2.49,224.1
3,21,3.66,329.4
3,22,3.93,353.7
3,23,1.33,119.7
4,0,0.0,90.0
4,1,0.0,90.0
4,2,0.0,90.0
4,3,0.0,90.0
4,4,0.0,90.0
4,5,3.56,320.4
4,6,1.53,137.7
4,7,1.5,135.0
4,8,2.03,182.7
4,9,2.62,235.8
4,10,3.86,347.4
4,11,3.1,279.0
4,12,1.26,113.4
4,13,1.21,108.9
4,14,3.6,324.0
4,15,3.59,323.1
4,16,1.93,173.7
4,17,2.16,194.4
4,18,3.3,297.0
4,19,3.51,315.9
4,20,2.49,224.1
4,21,3.66,329.4
4,22,3.93,353.7
4,23,1.33,119.7
5,0,0.0,90.0
5,1,0.0,90.0
5,2,0.0,90.0
5,3,0.0,90.0
5,4,0.0,90.0
5,5,3.56,320.4
5,6,1.53,137.7
5,7,1.5,135.0
5,8,2.03,182.7
5,9,2.62,235.8
5,10,3.86,347.4
5,11,3.1,279.0
5,12,1.26,113.4
5,13,1.21,108.9
5,14,3.6,324.0
5,15,3.59,323.1
5,16,1.93,173.7
5,17,2.16,194.4
5,18,3.3,297.0
5,19,3.51,315.9
5,20,2.49,224.1
5,21,3.66,329.4
5,22,3.93,353.7
5,23,1.33,119.7
6,0,0.0,90.0
6,1,0.0,90.0
6,2,0.0,90.0
6,3,0.0,90.0
6,4,0.0,90.0
6,5,3.56,320.4
6,6,1.53,137.7
6,7,1.5,135.0
6,8,2.03,182.7
6,9,2.62,235.8
6,10,3.86,347.4
6,11,3.1,279.0
6,12,1.26,113.4
6,13,1.21,108.9
6,14,3.6,324.0
6,15,3.59,323.1
6,16,1.93,173.7
6,17,2.16,194.4
6,18,3.3,297.0
6,19,3.51,315.9
6,20,2.49,224.1
6,21,3.66,329.4
6,22,3.93,353.7
6,23,1.33,119.7
0,0,0.0,90.0
0,1,0.0,90.0
0,2,0.0,90.0
0,3,0.0,90.0
0,4,0.0,90.0
0,5,3.56,320.4
0,6,1.53,137.7
0,7,1.5,135.0
0,8,2.03,182.7
0,9,2.62,235.8
0,10,3.86,347.4
0,11,3.1,279.0
0,12,1.26,113.4
0,13,1.21,108.9
0,14,3.6,324.0
0,15,3.59,323.1
0,16,1.93,173.7
0,17,2.16,194.4
0,18,3.3,297.0
0,19,3.51,315.9
0,20,2.49,224.1
0,21,3.66,329.4
0,22,3.93,353.7
0,23,1.33,119.7
1,0,0.0,90.0
1,1,0.0,90.0
1,2,0.0,90.0
1,3,0.0,90.0
1,4,0.0,90.0
1,5,3.56,320.4
1,6,1.53,137.7
1,7,1.5,135.0
1,8,2.03,182.7
1,9,2.62,235.8
1,10,3.86,347.4
1,11,3.1,279.0
1,12,1.26,113.4
1,13,1.21,108.9
1,14,3.6,324.0
1,15,3.59,323.1
1,16,1.93,173.7
1,17,2.16,194.4
1,18,3.3,297.0
1,19,3.51,315.9
1,20,2.49,224.1
1,21,3.66,329.4
1,22,3.93,353.7
1,23,1.33,119.7
2,0,0.0,90.0
2,1,0.0,90.0
2,2,0.0,90.0
2,3,0.0,90.0
2,4,0.0,90.0
2,5,3.56,320.4
2,6,1.53,137.7
2,7,1.5,135.0
2,8,2.03,182.7
2,9,2.62,235.8
2,10,3.86,347.4
2,11,3.1,279.0
2,12,1.26,113.4
2,13,1.21,108.9
2,14,3.6,324.0
2,15,3.59,323.1
2,16,1.93,173.7
2,17,2.16,194.4
2,18,3.3,297.0
2,19,3.51,315.9
2,20,2.49,224.1
2,21,3.66,329.4
2,22,3.93,353.7
2,23,1.33,119.7
3,0,0.0,90.0
3,1,0.0,90.0
3,2,0.0,90.0
3,3,0.0,90.0
3,4,0.0,90.0
3,5,3.56,320.4
3,6,1.53,137.7
3,7,1.5,135.0
3,8,2.03,182.7
3,9,2.62,235.8
3,10,3.86,347.4
3,11,3.1,279.0
3,12,1.26,113.4
3,13,1.21,108.9
3,14,3.6,324.0
3,15,3.59,323.1
3,16,1.93,173.7
3,17,2.16,194.4
3,18,3.3,297.0
3,19,3.51,315.9
3,20,2.49,224.1
3,21,3.66,329.4
3,22,3.93,353.7
3,23,1.33,119.7
4,0,0.0,90.0
4,1,0.0,90.0
4,2,0.0,90.0
4,3,0.0,90.0
4,4,0.0,90.0
4,5,3.56,320.4
4,6,1.53,137.7
4,7,1.5,135.0
4,8,2.03,182.7
4,9,2.62,235.8
4,10,3.86,347.4
4,11,3.1,279.0
4,12,1.26,113.4
4,13,1.21,108.9
4,14,3.6,324.0
4,15,3.59,323.1
4,16,1.93,173.7
4,17,2.16,194.4
4,18,3.3,297.0
4,19,3.51,315.9
4,20,2.49,224.1
4,21,3.66,329.4
4,22,3.93,353.7
4,23,1.33,119.7
5,0,0.0,90.0
5,1,0.0,90.0
5,2,0.0,90.0
5,3,0.0,90.0
5,4,0.0,90.0
5,5,3.56,320.4
5,6,1.53,137.7
5,7,1.5,135.0
5,8,2.03,182.7
5,9,2.62,235.8
5,10,3.86,347.4
5,11,3.1,279.0
5,12,1.26,113.4
5,13,1.21,108.9
5,14,3.6,324.0
5,15,3.59,323.1
5,16,1.93,173.7
5,17,2.16,194.4
5,18,3.3,297.0
5,19,3.51,315.9
5,20,2.49,224.1
5,21,3.66,329.4
5,22,3.93,353.7
5,23,1.33,119.7
6,0,0.0,90.0
6,1,0.0,90.0
6,2,0.0,90.0
6,3,0.0,90.0
6,4,0.0,90.0
6,5,3.56,320.4
6,6,1.53,137.7
6,7,1.5,135.0
6,8,2.03,182.7
6,9,2.62,235.8
6,10,3.86,347.4
6,11,3.1,279.0
6,12,1.26,113.4
6,13,1.21,108.9
6,14,3.6,324.0
6,15,3.59,323.1
6,16,1.93,173.7
6,17,2.16,194.4
6,18,3.3,297.0
6,19,3.51,315.9
6,20,2.49,224.1
6,21,3.66,329.4
6,22,3.93,353.7
6,23,1.33,119.7
